"EX_pi_e_i","EX_co2_e_i","EX_fe3_e_i","EX_h_e_i","EX_mn2_e_i","EX_fe2_e_i","EX_zn2_e_i","EX_mg2_e_i","EX_ca2_e_i","EX_ni2_e_i","EX_cu2_e_i","EX_sel_e_i","EX_cobalt2_e_i","EX_h2o_e_i","EX_mobd_e_i","EX_so4_e_i","EX_nh4_e_i","EX_k_e_i","EX_na1_e_i","EX_cl_e_i","EX_o2_e_i","EX_tungs_e_i","EX_slnt_e_i","EX_gal_e_i","EX_glc__D_e_i","WT","AlsR","AppY","ArcA","ArgR","AscG","BasR","BolA","CpxR","Cra","CreB","CsgD","CspA","CysB","CytR","DcuR","EvgA","FadR","FhlA","Fis","FliZ","Fur","GadE","GadW","GadX","GcvA","GlcC","GlpR","HdfR","IclR","IdnR","KdgR","LldR","LrhA","Lrp","MarA","MarR","Mlc","ModE","NagC","NarL","NarP","NsrR","NtrC","OmpR","OxyR","PdhR","PhoB","PrpR","PurR","QseB","RcsB","Rob","RutR","SdiA","SoxR","SoxS","TdcA","TdcR","TorR","UvrY","UxuR","YdeO","RpoN","ACKr_rev","ACONTa_for","ACONTb_for","BIOMASS_Ec_iML1515_core_75p37M","CS","EDA","EDD","ENO_for","EX_ac_e_o","EX_gal_e_i_MEASURE","EX_glc__D_e_i_MEASURE","FBA_for","FUM_for","GAPD_for","GND","ICDHyr_for","ICL","MALS","MDH_for","ME1","PDH","PFK","PGI_for","PGK_rev","PGM_rev","PPC","PPCK","PTAr_for","PYK","SUCDi","TALA_for"
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02,0.96,0.96,0.17,0.96,0.09,0.09,2.47,0.03,1.5,0,1.3,0.72,2.71,0.35,0.24,0.72,0.72,1.39,0.05,2.08,1.3,1.16,2.71,2.71,0.41,0.58,0.02,2.49,0.72,0.12
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.29,1.28,1.28,0.19,1.28,0.12,0.12,3.43,0.28,2.3,0,1.81,0.98,3.72,0.28,0.55,0.74,0.74,1.69,0.02,2.76,1.81,1.73,3.72,3.72,0.57,0.64,0.29,3.32,0.98,0.1
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.09,1.62,1.62,0.19,1.62,0.11,0.11,3.75,0.08,2.33,0,1.94,1.29,4.06,0.57,0.49,1.13,1.13,2.33,0.1,3.34,1.94,1.67,4.06,4.06,0.62,0.96,0.09,3.9,1.29,0.19
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1.22,1.22,0.18,1.22,0.02,0.02,2.91,0.05,1.67,0,1.55,0.96,3.16,0.42,0.26,0.96,0.96,1.87,0.06,2.61,1.55,1.36,3.16,3.16,0.41,0.77,0.05,3.12,0.96,0.14
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04,1.15,1.15,0.19,1.15,0.03,0.03,2.96,0.04,1.71,0,1.57,0.87,3.23,0.5,0.28,0.87,0.87,1.74,0,2.48,1.57,1.33,3.23,3.23,0.48,0.77,0.04,3.07,0.87,0.17
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03,1.22,1.22,0.17,1.22,0,0,2.93,0.03,1.59,0,1.57,0.96,3.19,0.47,0.35,0.87,0.87,1.76,0.07,2.51,1.57,1.35,3.19,3.19,0.46,0.72,0.03,3.03,0.96,0.16
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04,1.45,1.45,0.18,1.45,0.07,0.07,3.32,0.04,2.15,0,1.77,1.16,3.6,0.31,0.6,0.86,0.86,1.93,0.09,2.79,1.77,1.66,3.6,3.6,0.44,0.59,0.04,3.3,1.16,0.1
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.06,1.63,1.63,0.14,1.63,0.09,0.09,3.38,0.05,3.06,0,1.76,1.34,3.63,0.36,0.92,0.72,0.72,1.99,0.06,2.8,1.76,1.61,3.63,3.63,0.7,0.76,0.06,3.29,1.34,0.12
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02,2.22,2.22,0.2,2.22,0,0,4.6,0.01,3.16,0,2.45,1.85,4.94,0.52,1.15,1.06,1.06,2.84,0.06,3.84,2.45,2.23,4.94,4.94,0.83,1.06,0.02,4.61,1.85,0.17
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1.17,1.17,0.17,1.17,0.2,0.2,2.65,0.13,1.73,0,1.34,0.93,2.9,0.32,0.24,0.93,0.93,1.74,0.12,2.56,1.34,1.22,2.9,2.9,0.39,0.68,0.1,2.8,0.93,0.1
