,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
10,0,0,1,0,0,1,0,0,0,0,,0.2088579103093395,0.2700147613436982,,0.2867232394225876,,,0.3066576392529069,0.268063387582133,0.0422169110325524
11,0,0,0,0,0,0,0,0,1,1,,,,,,0.1637286630088172,0.1469840280943297,0.1619833931553942,0.1575653614195137,0.0092051590382406
12,0,0,1,0,0,0,0,1,0,0,0.0962883677557919,0.1254589829026559,0.1748095134044504,,,,0.0871326618657509,,0.1209223814821623,0.0394672164514854
13,0,0,0,1,1,0,0,0,0,0,,,0.2806794745863313,0.2490290028865641,0.2889114474967858,,,,0.2728733083232271,0.0210559853917423
14,0,0,0,1,0,1,0,0,0,0,,0.2655647386946119,,,0.2977612863973301,0.2758414972913757,0.338821028932645,,0.2944971378289907,0.0324570415163618
15,0,1,0,0,0,0,1,0,0,0,0.2139989267896824,,0.2396690354341634,0.2391595073097476,0.261399192308791,,,,0.2385566654605961,0.0193775157222021
16,1,0,0,0,1,0,0,0,0,0,,0.2731891916371115,0.2674475166059638,0.1843672618471465,0.2872164784472902,,,,0.253055112134378,0.046538665606648
17,0,1,0,1,0,0,0,0,0,0,,,0.2774202028622234,0.2437318483297325,,,,,0.260576025595978,0.0238212639369408
18,0,0,0,0,0,1,0,0,1,0,,,0.2949503303398268,0.2692050773149509,0.2807235118462105,,,,0.2816263065003294,0.0128963480090042
19,0,0,0,0,1,0,0,0,0,1,,0.1350014098061697,0.1238073868686792,0.1321848918911922,0.1507755177569665,,0.1335037616758071,,0.135054593599763,0.0098016607225091
20,0,0,0,0,1,0,1,0,0,1,,0.141462681129238,0.1619469922087859,0.1421499650584791,,0.1340063182024365,,,0.1448914891497349,0.0119533790192504
21,0,1,0,0,0,1,0,0,0,1,0.2125332583747413,0.2620592269135599,,,,0.2262471788556134,0.2721068096655503,0.2313169258293955,0.2408526799277721,0.0251633620846762
22,1,0,1,0,1,0,0,0,0,0,,,,0.2394342069260408,0.2099016775243286,,0.2471904895813562,0.2783815030662216,0.2437269692744867,0.0281395975794617
23,0,0,0,0,0,0,1,1,0,1,,,,0.1422784100765862,0.0967069346684414,0.0788042559426914,,,0.1059298668959063,0.0327267309688527
24,0,0,1,0,0,0,1,0,0,1,0.1128830655389121,0.11518287934359,,0.1389960353580375,0.0969507769804388,0.0912892067164716,,0.0941199816549154,0.1082369909320609,0.018054617997554
25,0,1,1,0,1,0,0,0,0,0,,0.2801368997159214,0.2100891614777949,,,,,,0.2451130305968581,0.0495312307149594
26,1,0,0,1,0,0,0,0,1,0,0.3032701700898276,0.2974995170917949,0.2815637960291083,0.3536021311324608,,,0.3135698517625266,,0.3099010932211437,0.0270370632094932
27,0,0,1,1,0,0,1,0,0,0,,0.1867056135315552,0.1761924501794541,0.1993469380867958,,,,0.2375551231749026,0.1999500312431769,0.0267976610861724
28,1,0,0,0,0,0,0,0,1,1,0.2309755939253988,0.1734148841479302,0.2065445781802379,0.2195848439708866,0.2062054397548732,0.2080369105619732,0.2007002458722909,0.2163715585367623,0.2077292568687941,0.0168452613684798
29,0,1,0,0,1,1,0,0,0,0,0.3881094180073355,0.3689189815199538,0.3635965386682179,0.3706580266863516,0.38182602519766,0.3905570912668486,0.4171791476771667,0.3884561143943785,0.3836626679272391,0.0169290873349377
30,1,0,0,1,0,0,0,1,0,1,0.2152711691972722,0.2188030283316314,0.2219203823161571,0.2405891681294495,0.2165267739309433,0.2439063625875327,0.2160486042014538,0.2243704691441919,0.224679494729829,0.0113042781270577
31,1,0,0,0,1,1,0,0,1,0,0.3528836507120573,,,,,0.3493560248744473,0.3536832562952995,,0.3519743106272679,0.0023024785525072
32,0,0,1,0,0,0,1,1,1,0,0.2413861889077038,0.2004065164906009,0.2059497489799502,0.2670626576163764,0.2000302317235869,0.2384565176146854,,,0.2255486435554839,0.0275981411812886
33,0,1,0,0,1,0,0,1,0,1,,,0.1068018564376998,0.1609620363410912,,0.1342830884381409,0.1338899561391791,,0.1339842343390277,0.0221116987993887
34,1,0,1,1,0,0,0,0,0,1,,,0.2466840106389013,0.235547846668868,0.2312722695829911,,0.24527881162388,,0.2396957346286601,0.0074870218429952
35,1,1,0,1,0,0,0,0,1,0,0.3862607305614084,0.3535502608361433,0.358003604514709,0.3659572263995703,0.3951387036892398,0.3658146154115662,0.3329574705249783,,0.3653832302768022,0.0206868787659818
36,0,0,0,0,1,1,1,0,0,1,0.2132214696515097,,0.1924079557087016,,0.170678060361971,0.1791029138966274,,0.1759694724934821,0.1862759744224583,0.0170633570113799
37,0,1,0,0,1,0,1,0,0,1,,,,0.1498757291114388,0.1768510529915796,0.1568316179352953,,,0.1611861333461046,0.0140049411979078
38,1,1,0,0,0,1,1,0,0,0,0.3283594344919543,,,,,0.3568284219466539,0.3318582398380315,0.3596383598006122,0.344171114019313,0.0163407386216842
39,1,0,1,1,0,0,0,0,1,0,,0.2902714947287969,0.2996662503753056,0.3015549917435182,0.2984793582766948,0.3078746487260031,0.2876255379278216,0.2890780692402768,0.2963643358597739,0.0075430448501373
40,1,0,0,1,1,0,0,0,1,0,,,0.3952167813396013,0.4134401123413777,0.4265730627260394,,0.3965202011394912,0.4355335290880736,0.4134567373269166,0.0178813118595817
41,1,0,0,0,0,1,1,0,1,0,0.2691052479830654,0.1996908411230391,0.2991576658653234,,0.2563792472792009,,,,0.2560832505626572,0.041654007918188
42,0,0,0,1,1,1,0,0,1,0,0.4030923018880604,0.3442091683080746,,0.409455938717518,0.3749161458586558,0.4428107330227565,,,0.394896857559013,0.0372268125668115
43,0,0,0,1,0,1,1,0,1,0,0.4380323213297111,,0.3669812860550311,0.4056584639885634,0.4533395929995323,0.4386807157699603,,,0.4205384760285596,0.0346441774219332
44,0,1,1,0,0,1,0,1,0,0,0.3033947639720896,0.3070090545727117,0.2821023049898167,,0.3078681230338582,0.3241607719036382,0.3053932763875591,,0.3049880491432789,0.0134642685565949
45,0,0,0,0,1,0,1,0,1,1,0.2376821283461576,0.2348441569863534,0.2259497925578467,0.2314143890080138,0.2276351324348134,,,,0.231505119866637,0.004877276364988
46,0,0,0,1,0,1,1,0,0,1,0.2691836894056277,0.2869800540163448,0.295637538923426,0.2846800402574578,0.2313488802544142,0.2563672103629768,0.2715142766189534,,0.2708159556913144,0.0217530463005282
47,0,1,1,1,0,0,0,1,0,0,,0.3675600050768595,0.3441657230338354,0.3352771058353593,0.3187260244435337,0.3229260073450835,0.3219377883739824,,0.3350987756847756,0.018576477646599
48,0,1,0,1,0,0,0,1,0,1,0.2818827512641542,0.2975453445828834,0.3020394304718523,0.2764919104678435,0.2597370180323858,0.2708494714433108,0.2672523739363961,0.2721185573881552,0.2784896071983726,0.0146877815314551
49,0,0,1,0,0,0,1,1,0,1,0.0894300616169135,,,,,,,0.0636287289404427,0.0765293952786781,0.0182442972991826
50,0,0,0,0,0,0,1,1,0,0,0.0800879361906806,0.0696279915725977,0.0677883640070952,0.0710374283359512,0.0654012474839371,0.0742947863337805,,0.0643272153081699,0.0703664241760303,0.0054575142686311
51,0,0,0,1,0,0,1,0,0,0,,0.205575884705612,0.1925658037724102,0.217239747833647,,0.2227618705532438,,,0.2095358267162282,0.0133908109737389
52,1,0,0,0,0,0,1,0,0,0,,0.0981216243402327,0.1255272381307888,0.1124490924464919,0.0940368436949825,,0.1375859979140876,,0.1135441593053167,0.0183111530243414
53,0,0,0,1,0,0,0,0,1,0,,0.260826454280594,0.1891196680388762,0.2080111930605839,,,,,0.2193191051266847,0.0371667520070001
54,0,1,0,0,0,1,0,0,0,0,0.3678317785818115,,0.3237844678696952,0.2947953453098568,0.353407823871146,0.3393331399626942,0.3102352793296732,,0.3315646391541462,0.0272772188875773
